12:38:55  |  Core  |  Info  |  * Initialise: DynLibManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  26
12:38:55  |  Core  |  Info  |  DynLibManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  30
12:38:55  |  Core  |  Info  |  * Initialise: PluginManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  30
12:38:55  |  Core  |  Info  |  PluginManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  34
12:38:55  |  Core  |  Info  |  * Initialise: LanguageManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  30
12:38:55  |  Core  |  Info  |  LanguageManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  34
12:38:55  |  Core  |  Info  |  * Initialise: FactoryManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  25
12:38:55  |  Core  |  Info  |  FactoryManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  27
12:38:55  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  33
12:38:55  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  45
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using texture size 128 x 256.  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  769
12:38:55  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using real height 15 pixels.  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  770
12:38:55  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'PressStart2P' using texture size 256 x 128.  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  769
12:38:55  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'PressStart2P' using real height 13 pixels.  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  770
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
12:38:55  |  Core  |  Info  |  Gui successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_Gui.cpp  |  119
